Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,DSXmol_mean,DSXmol_var,DSXmol_stdev,DSXmol_max,DSXmol_min,DSXmol_median,DSXmol_muc,DSXmol_notempty,celnumber
1658,5.000000,3886.000000,1358.000000,0.000000,777.200000,271.600000,0.000000,0.000000,1.200000,2.800000,-0.600000,0.000000,0.000000,0.000000,0.140353,0.327490,-0.070176,0.000000,0.000000,0.467843,0.041039,0.000000,0.467843,0.202582,-0.000000,1.000000,1.000000,0.000000,272,777,0,271,776,0,272,778,0,1.200000,     0.700000,     0.836660,     2.000000,     0.000000,     1.000000,     6.000000,4,787
1659,2.000000,1553.000000,838.000000,0.000000,776.500000,419.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,1.000000,0.000000,0.000000,419,777,0,419,776,0,419,777,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     4.000000,2,789
1660,4.000000,3114.000000,906.000000,0.000000,778.500000,226.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,227,779,0,226,778,0,227,779,0,1.500000,     1.000000,     1.000000,     3.000000,     1.000000,     1.000000,     6.000000,4,802
1661,4.000000,3114.000000,1178.000000,0.000000,778.500000,294.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,295,779,0,294,778,0,295,779,0,4.750000,     1.583333,     1.258306,     6.000000,     3.000000,     5.000000,    19.000000,4,0
1662,6.000000,4671.000000,4824.000000,0.000000,778.500000,804.000000,0.000000,0.000000,4.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.366881,0.137580,0.000000,0.000000,0.000000,0.504461,0.050476,0.000000,0.504461,0.224668,-0.000000,1.000000,1.000000,0.000000,804,779,0,803,778,0,805,779,0,4.833333,     5.366667,     2.316607,     8.000000,     1.000000,     5.000000,    29.000000,6,0
1663,11.000000,8586.000000,9382.000000,0.000000,780.545455,852.909091,0.000000,0.000000,20.909091,10.727273,11.545455,0.000000,0.000000,0.000000,0.854696,0.438496,0.471941,0.000000,0.000000,1.293192,0.152053,0.000000,1.293192,0.389939,-0.000000,2.000000,2.000000,0.000000,853,781,0,851,779,0,855,782,0,1.909091,     1.290909,     1.136182,     3.000000,     0.000000,     2.000000,    21.000000,10,0
1664,17.000000,13271.000000,15791.000000,0.000000,780.647059,928.882353,0.000000,0.000000,31.764706,27.882353,-15.705882,0.000000,0.000000,0.000000,0.726685,0.637868,-0.359305,0.000000,0.000000,1.364553,0.334429,0.000000,1.364553,0.578298,-0.000000,2.000000,2.000000,0.000000,929,781,0,927,779,0,931,783,0,1.000000,     0.375000,     0.612372,     2.000000,     0.000000,     1.000000,    17.000000,14,800
1665,13.000000,10155.000000,3445.000000,0.000000,781.153846,265.000000,0.000000,0.000000,22.000000,7.692308,0.000000,0.000000,0.000000,0.000000,0.719722,0.251651,0.000000,0.000000,0.000000,0.971373,0.181119,0.000000,0.971373,0.425581,-0.000000,1.000000,2.000000,0.000000,265,781,0,263,780,0,267,782,0,3.076923,     2.410256,     1.552500,     5.000000,     0.000000,     3.000000,    40.000000,12,0
1666,4.000000,3122.000000,3442.000000,0.000000,780.500000,860.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,861,781,0,860,780,0,861,781,0,5.500000,    13.666667,     3.696846,     9.000000,     1.000000,     4.000000,    22.000000,4,813
1667,2.000000,1562.000000,489.000000,0.000000,781.000000,244.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,1.000000,0.000000,245,781,0,244,781,0,245,781,0,1.500000,     0.500000,     0.707107,     2.000000,     1.000000,     1.000000,     3.000000,2,796
1668,4.000000,3126.000000,4154.000000,0.000000,781.500000,1038.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,1039,782,0,1038,781,0,1039,782,0,3.250000,     0.916667,     0.957427,     4.000000,     2.000000,     3.000000,    13.000000,4,0
1669,4.000000,3134.000000,3558.000000,0.000000,783.500000,889.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,890,784,0,889,783,0,890,784,0,4.000000,     0.000000,     0.000000,     4.000000,     4.000000,     4.000000,    16.000000,4,807
