Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,MS2mol_mean,MS2mol_var,MS2mol_stdev,MS2mol_max,MS2mol_min,MS2mol_median,MS2mol_muc,MS2mol_notempty,celnumber
1486,8.000000,4881.000000,7001.000000,0.000000,610.125000,875.125000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,875,610,0,874,609,0,876,611,0,42.625000,   306.839286,    17.516829,    59.000000,     5.000000,    39.000000,   341.000000,8,610
1487,4.000000,2438.000000,3618.000000,0.000000,609.500000,904.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,905,610,0,904,609,0,905,610,0,3.000000,     0.666667,     0.816497,     4.000000,     2.000000,     3.000000,    12.000000,4,611
1488,12.000000,7341.000000,1086.000000,0.000000,611.750000,90.500000,0.000000,0.000000,15.000000,10.250000,-4.500000,0.000000,0.000000,0.000000,0.545988,0.373092,-0.163796,0.000000,0.000000,0.919079,0.176874,0.000000,0.919079,0.420564,-0.000000,2.000000,2.000000,0.000000,91,612,0,89,610,0,92,613,0,2.083333,     0.446970,     0.668558,     3.000000,     1.000000,     2.000000,    25.000000,12,601
1489,4.000000,2442.000000,622.000000,0.000000,610.500000,155.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,156,611,0,155,610,0,156,611,0,23.250000,    84.250000,     9.178780,    31.000000,    13.000000,    18.000000,    93.000000,4,0
1490,4.000000,2442.000000,834.000000,0.000000,610.500000,208.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,209,611,0,208,610,0,209,611,0,31.000000,   124.666667,    11.165423,    41.000000,    19.000000,    24.000000,   124.000000,4,597
1491,8.000000,4897.000000,1953.000000,0.000000,612.125000,244.125000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,244,612,0,243,611,0,245,613,0,1.625000,     0.839286,     0.916125,     3.000000,     0.000000,     2.000000,    13.000000,7,602
1492,9.000000,5507.000000,7088.000000,0.000000,611.888889,787.555556,0.000000,0.000000,10.222222,4.888889,3.555556,0.000000,0.000000,0.000000,0.546037,0.261148,0.189926,0.000000,0.000000,0.807185,0.106525,0.000000,0.807185,0.326381,-0.000000,1.000000,2.000000,0.000000,788,612,0,786,611,0,789,613,0,9.555556,    12.027778,     3.468109,    15.000000,     5.000000,     9.000000,    86.000000,9,594
1493,4.000000,2450.000000,730.000000,0.000000,612.500000,182.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,183,613,0,182,612,0,183,613,0,3.750000,     0.250000,     0.500000,     4.000000,     3.000000,     4.000000,    15.000000,4,605
1494,9.000000,5535.000000,765.000000,0.000000,615.000000,85.000000,0.000000,0.000000,4.000000,20.000000,6.000000,0.000000,0.000000,0.000000,0.213667,1.068333,0.320500,0.000000,0.000000,1.282000,0.125547,0.000000,1.282000,0.354326,-0.000000,2.000000,1.000000,0.000000,85,615,0,84,613,0,86,617,0,2.222222,     0.194444,     0.440959,     3.000000,     2.000000,     2.000000,    20.000000,9,0
1495,10.000000,6145.000000,7365.000000,0.000000,614.500000,736.500000,0.000000,0.000000,10.500000,10.500000,-7.500000,0.000000,0.000000,0.000000,0.487367,0.487367,-0.348119,0.000000,0.000000,0.974734,0.116339,0.000000,0.974734,0.341086,-0.000000,2.000000,2.000000,0.000000,737,615,0,735,613,0,738,616,0,5.400000,     3.155556,     1.776388,     8.000000,     2.000000,     5.000000,    54.000000,10,595
